Site,LC_Fluxnet,lon,lat
CA-SF2,ENF,-105.8775,54.2539
CA-SF3,OSH,-106.0053,54.0916
CA-TP1,ENF,-80.5595,42.6609
CA-TP2,ENF,-80.4588,42.7744
CA-TP3,ENF,-80.3483,42.7068
CA-TP4,ENF,-80.3574,42.7102
CA-TPD,DBF,-80.5577,42.6353
CG-Tch,SAV,11.6564,-4.2892
CH-Cha,GRA,8.4104,47.2102
CH-Dav,ENF,9.8559,46.8153
CH-Fru,GRA,8.5378,47.1158
CH-Lae,MF,8.3644,47.4783
CH-Oe1,GRA,7.7319,47.2858
CH-Oe2,CRO,7.7337,47.2864
CN-Cha,MF,128.0958,42.4025
CN-Cng,GRA,123.5092,44.5934
CN-Dan,GRA,91.0664,30.4978
CN-Din,EBF,112.5361,23.1733
CN-Du2,GRA,116.2836,42.0467
CN-Du3,GRA,116.2809,42.0551
CN-Ha2,WET,101.3269,37.6086
CN-HaM,GRA,101.18,37.37
CN-Hgu,GRA,102.59,32.8453
CN-Qia,ENF,115.0581,26.7414
CN-Sw2,GRA,111.8971,41.7902
CZ-BK1,ENF,18.5369,49.5021
CZ-BK2,GRA,18.5429,49.4944
CZ-wet,WET,14.7704,49.0247
DE-Akm,WET,13.6834,53.8662
DE-Dgw,WAT,13.0543,53.1514
DE-Geb,CRO,10.9146,51.0997
DE-Gri,GRA,13.5126,50.95
DE-Hai,DBF,10.4522,51.0792
DE-Hte,WET,12.1761,54.2103
DE-Kli,CRO,13.5224,50.8931
DE-Lkb,ENF,13.3047,49.0996
DE-Lnf,DBF,10.3678,51.3282
DE-Obe,ENF,13.7213,50.7867
DE-RuR,GRA,6.3041,50.6219
DE-RuS,CRO,6.4471,50.8659
DE-Seh,CRO,6.4497,50.8706
DE-SfN,WET,11.3275,47.8064
DE-Spw,WET,14.0337,51.8922
DE-Tha,ENF,13.5651,50.9626
DE-Zrk,WET,12.889,53.8759
DK-Eng,GRA,12.1918,55.6905
DK-Fou,CRO,9.5872,56.4842
DK-Sor,DBF,11.6446,55.4859
ES-Amo,OSH,-2.2523,36.8336
ES-LgS,OSH,-2.9658,37.0979
ES-LJu,OSH,-2.7521,36.9266
ES-Ln2,OSH,-3.4758,36.9695
FI-Hyy,ENF,24.2948,61.8474
FI-Jok,CRO,23.5134,60.8986
FI-Let,ENF,23.9595,60.6418
FI-Lom,WET,24.2092,67.9972
FI-Si2,WET,24.1967,61.8372
FI-Sii,WET,24.1928,61.8327
FI-Sod,ENF,26.6386,67.3624
FR-Fon,DBF,2.7801,48.4764
FR-Gri,CRO,1.9519,48.8442
FR-LBr,ENF,-0.7693,44.7171
FR-LGt,WET,2.2841,47.3229
FR-Pue,EBF,3.5957,43.7413
GF-Guy,EBF,-52.9249,5.2788
GH-Ank,EBF,-2.6942,5.2685
GL-NuF,WET,-51.3861,64.1308
GL-ZaF,WET,-20.5545,74.4814
GL-ZaH,GRA,-20.5503,74.4733
HK-MPM,EBF,114.0292,22.4982
ID-Pag,EBF,113.9,-2.32
IT-BCi,CRO,14.9574,40.5237
IT-CA1,DBF,12.0266,42.3804
IT-CA2,CRO,12.026,42.3772
IT-CA3,DBF,12.0222,42.38
IT-Cas,CRO,8.7175,45.07
IT-Col,DBF,13.5881,41.8494
IT-Cp2,EBF,12.3573,41.7043
IT-Cpz,EBF,12.3761,41.7052
IT-Isp,DBF,8.6336,45.8126
IT-La2,ENF,11.2853,45.9542
IT-Lav,ENF,11.2813,45.9562
IT-MBo,GRA,11.0458,46.0147
IT-Noe,CSH,8.1517,40.6062
IT-PT1,DBF,9.061,45.2009
IT-Ren,ENF,11.4337,46.5869
IT-Ro1,DBF,11.93,42.4081
IT-Ro2,DBF,11.9209,42.3903
IT-SR2,ENF,10.2909,43.732
IT-SRo,ENF,10.2844,43.7279
IT-Tor,GRA,7.5781,45.8444
JP-BBY,WET,141.8107,43.323
JP-MBF,DBF,142.3186,44.3869
JP-Mse,CRO,140.0269,36.0539
JP-SMF,MF,137.0788,35.2617
JP-SwL,WAT,138.1084,36.0466
KR-CRK,CRO,127.2506,38.2013
MY-MLM,EBF,111.1495,1.4536
MY-PSO,EBF,102.3062,2.973
NL-Hor,GRA,5.0713,52.2403
NL-Loo,ENF,5.7436,52.1666
NZ-Kop,EBF,175.5539,-37.3879
PA-SPn,DBF,-79.6346,9.3181
PA-SPs,GRA,-79.6314,9.3138
PH-RiF,CRO,121.2653,14.1412
RU-Ch2,WET,161.3509,68.6169
RU-Che,WET,161.3414,68.613
RU-Cok,OSH,147.4943,70.8291
RU-Fy2,ENF,32.9019,56.4476
RU-Fyo,ENF,32.9221,56.4615
RU-Ha1,GRA,90.0022,54.7252
RU-Sam,GRA,126.4958,72.3738
RU-SkP,DNF,129.168,62.255
RU-Tks,GRA,128.8878,71.5943
RU-Vrk,CSH,62.9405,67.0547
SD-Dem,SAV,30.4783,13.2829
SE-Deg,GRA,19.5565,64.182
SE-St1,WET,19.0503,68.3541
SJ-Adv,WET,15.923,78.186
SJ-Blv,SNO,11.8311,78.9216
SN-Dhr,SAV,-15.4322,15.4028
UK-LBT,URB,-0.1389,51.5215
US-A03,BSV,-149.8823,70.4953
US-A10,BSV,-156.6149,71.3242
US-AR1,GRA,-99.42,36.4267
US-AR2,GRA,-99.5975,36.6358
US-ARb,GRA,-98.0402,35.5497
US-ARc,GRA,-98.04,35.5465
US-ARM,CRO,-97.4888,36.6058
US-Atq,WET,-157.4089,70.4696
US-Beo,WET,-156.6123,71.281
US-Bes,WET,-156.5965,71.2809
US-Bi1,CRO,-121.4993,38.0992
US-Bi2,CRO,-121.5351,38.1091
US-Blo,ENF,-120.6328,38.8953
US-BZB,WET,-148.3208,64.6955
US-BZF,WET,-148.3121,64.7013
US-BZS,ENF,-148.3235,64.6963
US-Cop,GRA,-109.39,38.09
US-CRT,CRO,-83.3471,41.6285
US-DPW,WET,-81.4361,28.0521
US-EDN,WET,-122.114,37.6156
US-EML,OSH,-149.2536,63.8784
US-GBT,ENF,-106.2397,41.3658
US-GLE,ENF,-106.2399,41.3665
US-Goo,GRA,-89.8735,34.2547
US-Ha1,DBF,-72.1715,42.5378
US-Ho1,ENF,-68.7402,45.2041
US-HRA,CRO,-91.7517,34.5852
US-HRC,CRO,-91.7517,34.5888
US-IB2,GRA,-88.241,41.8406
US-ICs,WET,-149.311,68.6058
US-Ivo,WET,-155.7503,68.4865
US-KS1,ENF,-80.6709,28.4583
US-KS2,CSH,-80.6715,28.6086
US-LA1,WET,-90.4449,29.5013
US-LA2,WET,-90.2869,29.8587
US-Lin,CRO,-119.0922,36.3566
US-Los,WET,-89.9792,46.0827
US-LWW,GRA,-97.9789,34.9604
US-MAC,WET,-81.1873,27.1632
US-Me1,ENF,-121.5,44.5794
US-Me2,ENF,-121.5574,44.4523
US-Me3,ENF,-121.6078,44.3154
US-Me4,ENF,-121.6224,44.4992
US-Me5,ENF,-121.5668,44.4372
US-Me6,ENF,-121.6078,44.3233
US-MMS,DBF,-86.4131,39.3232
US-MRM,WET,-74.0435,40.8164
US-Myb,WET,-121.765,38.0499
US-NC4,WET,-75.9038,35.7879
US-Ne1,CRO,-96.4766,41.1651
US-Ne2,CRO,-96.4701,41.1649
US-Ne3,CRO,-96.4397,41.1797
US-NGB,SNO,-156.6092,71.28
US-NGC,GRA,-163.7002,64.8618
US-NR1,ENF,-105.5464,40.0329
US-Oho,DBF,-83.8438,41.5545
US-ORv,WET,-83.0183,40.0201
US-OWC,WET,-82.5125,41.3795
US-PFa,MF,-90.2723,45.9459
US-Prr,ENF,-147.4876,65.1237
US-Snd,GRA,-121.754,38.0366
US-Sne,GRA,-121.7547,38.0369
US-SRC,OSH,-110.8395,31.9083
US-SRG,GRA,-110.8277,31.7894
US-SRM,WSA,-110.8661,31.8214
US-Srr,WET,-122.0264,38.2006
US-Sta,OSH,-106.8024,41.3966
US-StJ,WET,-75.4372,39.0882
US-Syv,MF,-89.3477,46.242
US-Ton,WSA,-120.966,38.4309
US-Tw1,WET,-121.6469,38.1074
US-Tw2,CRO,-121.6365,38.0969
US-Tw3,CRO,-121.6469,38.1152
US-Tw4,WET,-121.6413,38.1027
US-Tw5,WET,-121.6426,38.1072
US-Twt,CRO,-121.6531,38.1087
US-Uaf,ENF,-147.8555,64.8663
US-UMB,DBF,-84.7138,45.5598
US-UMd,DBF,-84.6975,45.5625
US-Var,GRA,-120.9508,38.4133
US-WCr,DBF,-90.0799,45.8059
US-Whs,OSH,-110.0522,31.7438
US-Wi0,ENF,-91.0814,46.6188
US-Wi1,DBF,-91.2329,46.7305
US-Wi2,ENF,-91.1528,46.6869
US-Wi3,DBF,-91.0987,46.6347
US-Wi4,ENF,-91.1663,46.7393
US-Wi5,ENF,-91.0858,46.6531
US-Wi6,OSH,-91.2982,46.6249
US-Wi7,OSH,-91.0693,46.6491
US-Wi8,DBF,-91.2524,46.7223
US-Wi9,ENF,-91.0746,46.7385
US-Wkg,GRA,-109.9419,31.7365
US-WPT,WET,-82.9962,41.4646
ZA-Kru,SAV,31.4969,-25.0197
ZM-Mon,DBF,23.2525,-15.4391
