Site,LC_Fluxnet,lon,lat

IT-Lav,ENF,11.2813,45.9562

IT-MBo,GRA,11.0458,46.0147

IT-Noe,CSH,8.1512,40.6062

IT-PT1,DBF,9.061,45.2009

IT-Ren,ENF,11.4337,46.5869

IT-Ro1,DBF,11.93,42.4081

IT-Ro2,DBF,11.9209,42.3903

IT-SR2,ENF,10.291,43.732

IT-SRo,ENF,10.2844,43.7279

IT-Tor,GRA,7.5781,45.8444

JP-MBF,DBF,142.3186,44.3869

JP-SMF,MF,137.0788,35.2617

NL-Hor,GRA,5.0713,52.2404

SJ-Adv,WET,15.923,78.186

SJ-Blv,SNO,11.8311,78.9216

RU-Che,WET,161.3414,68.613

RU-Cok,OSH,147.4943,70.8291

RU-Fyo,ENF,32.9221,56.4615

RU-Ha1,GRA,90.0022,54.7252

SD-Dem,SAV,30.4783,13.2829

SN-Dhr,SAV,-15.4322,15.4028

US-AR1,GRA,-99.42,36.4267

US-AR2,GRA,-99.5975,36.6358

US-ARM,CRO,-97.4888,36.6058

US-ARb,GRA,-98.0402,35.5497

US-ARc,GRA,-98.04,35.5465

US-Blo,ENF,-120.6328,38.8953

US-Cop,GRA,-109.39,38.09

US-GBT,ENF,-106.2397,41.3658

US-GLE,ENF,-106.2399,41.3665

US-Ha1,DBF,-72.1715,42.5378

US-KS2,CSH,-80.6715,28.6086

US-Los,WET,-89.9792,46.0827

US-MMS,DBF,-86.4131,39.3232

US-Me1,ENF,-121.5,44.5794

US-Me2,ENF,-121.5574,44.4523

US-Me6,ENF,-121.6078,44.3233

US-Myb,WET,-121.7651,38.0498

US-NR1,ENF,-105.5464,40.0329

US-Ne1,CRO,-96.4766,41.1651

US-Ne2,CRO,-96.4701,41.1649

US-Ne3,CRO,-96.4397,41.1797

US-ORv,WET,-83.0183,40.0201

US-PFa,MF,-90.2723,45.9459

US-SRG,GRA,-110.8277,31.7894

US-SRM,WSA,-110.8661,31.8214

US-Syv,MF,-89.3477,46.242

US-Ton,WSA,-120.966,38.4316

US-Tw1,WET,-121.6469,38.1074

US-Tw2,CRO,-121.6433,38.1047

US-Tw3,CRO,-121.6467,38.1159

US-Tw4,WET,-121.6414,38.103

US-Twt,CRO,-121.653,38.1087

US-UMB,DBF,-84.7138,45.5598

US-UMd,DBF,-84.6975,45.5625

US-Var,GRA,-120.9507,38.4133

US-WCr,DBF,-90.0799,45.8059

US-Whs,OSH,-110.0522,31.7438

US-Wi0,ENF,-91.0814,46.6188

US-Wi3,DBF,-91.0987,46.6347

US-Wi4,ENF,-91.1663,46.7393

US-Wi6,OSH,-91.2982,46.6249

US-Wi9,ENF,-91.0814,46.6188

US-Wkg,GRA,-109.9419,31.7365

ZM-Mon,DBF,23.2528,-15.4378

AU-ASM,ENF,133.249,-22.283

AU-TTE,OSH,133.64,-22.287

AU-Wom,EBF,144.0944,-37.4222

BR-Sa1,EBF,-54.9589,-2.8567

CA-Gro,MF,-82.1556,48.2167

CA-Oas,DBF,-106.1978,53.6289

CA-Obs,ENF,-105.1178,53.9872

CA-TP1,ENF,-80.5595,42.6609

CA-TP2,ENF,-80.4588,42.7744

CA-TP3,ENF,-80.3483,42.7068

CA-TP4,ENF,-80.3574,42.7102

CA-TPD,DBF,-80.5577,42.6353

CG-Tch,SAV,11.6564,-4.2892

CN-Du3,GRA,116.2809,42.0551

CZ-BK1,ENF,18.5369,49.5021

CZ-BK2,GRA,18.5429,49.4944

DE-Lnf,DBF,10.3678,51.3282

DE-Zrk,WET,12.889,53.8759

DK-Eng,GRA,12.1918,55.6905

ES-Amo,OSH,-2.2523,36.8336

ES-LJu,OSH,-2.7521,36.9266

FI-Let,ENF,23.9595,60.6418

FR-Gri,CRO,1.9519,48.8442

GH-Ank,EBF,-2.6942,5.2685

MY-PSO,EBF,102.3062,2.973

NL-Loo,ENF,5.7436,52.1666

PA-SPn,DBF,-79.6346,9.3181

PA-SPs,GRA,-79.6314,9.3138

US-Atq,WET,-157.4089,70.4696

US-CRT,CRO,-83.3471,41.6285

US-Goo,GRA,-89.8735,34.2547

US-IB2,GRA,-88.241,41.8406

US-Ivo,WET,-155.7503,68.4865

US-KS1,ENF,-80.6709,28.4583

US-Lin,CRO,-119.8423,36.3566

US-Me3,ENF,-121.6078,44.3154

US-Me5,ENF,-121.5668,44.4372

US-Oho,DBF,-83.8438,41.5545

US-Prr,ENF,-147.4876,65.1237

US-SRC,OSH,-110.8395,31.9083

US-Sta,OSH,-106.8024,41.3966

US-WPT,WET,-82.9962,41.4646

US-Wi1,DBF,-91.2329,46.7305

US-Wi2,ENF,-91.1528,46.6869

US-Wi5,ENF,-91.0858,46.6531

US-Wi7,OSH,-91.0693,46.6491

US-Wi8,DBF,-91.2524,46.7223
